,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-08-22,0.8532276039635315,0.47564644103867604,1.1080268765353392,0.9778767858059799,1.0550049987941328,0.8047761835556871,0.6628387358902399,0.6609263884464457,0.7964832520236693
2025-08-25,0.9907765211413408,0.3465432628685522,1.0624595449724314,1.0707454364079696,1.0314238332086436,0.897929549988294,0.7346760120408447,0.7130201777803209,0.8623631285188345
2025-08-26,1.042087633239558,0.17657196483196963,0.8640966214793553,0.9973852507792886,0.8428413305305054,0.8618162021900078,0.6590185995822582,0.630720159353907,0.7164512170010299
2025-08-28,0.9626181631184002,-0.18080633345010774,0.5706622004314026,0.8772839358853283,0.5317487827901801,0.7722842327947057,0.5493389615709651,0.5151233497091001,0.6025545519273544
2025-08-29,1.1642942130971485,0.08015010138987717,0.8623642619690423,1.1995936374201936,0.7830863518605619,0.9567742064643251,0.6841081399913443,0.6632564762101183,0.6334183510158647
2025-09-01,1.3174191553016703,0.1992978635270882,0.9775932452442554,1.3412104140524588,0.9000755539690144,1.169133226194209,0.8991343322626363,0.8781524393408258,0.9076676797275579
2025-09-02,1.3064193327903824,0.3192209709797938,1.008538603267613,1.3426116740217746,0.9142538311477404,1.2621697809809629,1.0016584780166882,0.9783327267501639,0.8843765834133329
2025-09-03,1.5047658066427698,0.4987336966744377,1.1920073941958178,1.5374620460589323,1.0957765798768437,1.394391462254612,1.0994793137372225,1.0831254962852703,0.9647134934708012
2025-09-04,2.034141049949362,0.6061699555326726,1.4796864164571888,1.9614110670148894,1.3770567465374959,1.8092191951093608,1.4254692859990656,1.4245332968183402,1.2716001245780448
2025-09-05,2.0590582206010453,0.6342819203921495,1.5126232144458638,1.9884092672522673,1.4273393985463376,1.7627793306756168,1.3715167221153879,1.3703756980199358,1.2792717121688613
2025-09-08,2.113247193575904,0.6756644779397201,1.5444255012388168,2.0385543961924246,1.4443504043205708,1.838665458005927,1.4374291687237877,1.4305475007577766,1.3234284712235311
2025-09-09,2.1548101577359158,0.5283931036326796,1.4859388677249965,2.0731767232873457,1.3720622249044558,1.748525967780852,1.3041892867186746,1.2997297671482813,1.2169337352453984
2025-09-10,2.0700575918601896,0.4416650753812162,1.367191872195113,1.9708741461165569,1.2418910199476119,1.707396674692817,1.283974072055182,1.2879396586305554,1.145197708523777
2025-09-11,2.0948024528016056,0.524382199887403,1.412331284362851,2.0054068465154167,1.3057899985860597,1.7633467884782925,1.357008534273293,1.3524290670727948,1.1593903442321625
2025-09-12,2.1648393283640783,0.7419568650401187,1.6211621851766713,2.0910191082378384,1.525012285394152,1.9131778038013312,1.5253486415275848,1.5222299935434256,1.286000666439007
2025-09-15,2.0599052599414365,0.7116822623822554,1.577049120077772,2.0121459372624053,1.4904823140500436,1.8362071445834132,1.4556855885391542,1.4475357645251457,1.2339308367841946
2025-09-16,2.250493565830338,0.7524769004484513,1.6544373362896247,2.1547620404722982,1.5439930896596932,2.018757799353457,1.6102086691335498,1.6109772253986314,1.3509672669958845
2025-09-17,2.1819577018802914,0.7989994037344869,1.6116301090974714,2.082847444173664,1.5327019609873014,2.090310146494179,1.7289832633558513,1.7095453710753437,1.4542504960757119
2025-09-18,2.1368203829719166,0.6897910171396017,1.532622611731077,2.0363054102260523,1.4424925553492454,2.068996769924521,1.7068153513032767,1.68415652652537,1.4356387990686816
2025-09-19,2.0290999190577383,0.6236228170941392,1.4292765885902408,1.918450704695717,1.3447026574353844,2.007806276870397,1.66284467460705,1.632920384566894,1.1739794355609927
2025-09-22,1.7412988608474111,0.36171745579153286,1.119054227712432,1.6370260206021605,1.02725963474182,1.6267349376461813,1.2362499990999671,1.2188726878536302,1.0499546022298976
2025-09-23,1.5579323418894322,0.3469829870592354,1.0193297434663604,1.4651368870700583,0.9399004934746197,1.3826981840610664,0.9744060580225238,0.9729553302303704,0.8510940685207863
2025-09-24,1.3897252799968267,0.3047862661488741,0.9657139979710967,1.3493457230344867,0.9037258491609081,1.2008992173175383,0.7861683371325827,0.7910009660541494,0.6796159616781621
2025-09-25,1.200190287397489,0.27679043984550594,0.8679007980389153,1.1790586146537905,0.8429424919294434,0.9692891139370158,0.5496178479990751,0.5539763957074886,0.3818863209497544
2025-09-26,1.0471488704299974,0.10708023152382355,0.7491605425223445,1.0065430875482806,0.7027814860971711,0.8554996075495915,0.4420017521807852,0.4352396937713362,0.22930637800287185
2025-09-29,1.2572390516040175,0.2246444889547898,0.8020134118598498,1.1687477432679052,0.748458719062148,1.0339596843782175,0.581938684649405,0.577509450233664,0.33480191744502197
2025-09-30,1.1381003566566466,0.03016888185303878,0.6146292805516211,1.0407301523125514,0.5465081867935992,0.8992310954139288,0.45510451654219836,0.4429380335365683,0.2522388340649757
2025-10-01,1.4502768696509707,0.17769459105665822,0.8017102099104396,1.329873301617457,0.7296939517659163,1.149892682241117,0.6626640639854088,0.6664533696747662,0.4368064841373882
2025-10-03,1.463818699188884,0.41220619432345595,0.9505572912689896,1.393266343127949,0.8994181587831693,1.359834129415268,0.9241338532550399,0.9417231841319109,0.7102493061729059
2025-10-06,1.5897805894671162,0.49606763176323526,1.017989973765396,1.4755919319844295,0.9742500458745065,1.3851859672841331,0.9078329678018741,0.9249735891364566,0.7128178595318518
2025-10-07,1.6761123662433741,0.7741464299243942,1.1435383917079598,1.5480910010539772,1.0967733348649167,1.4809002021844913,1.019142242523159,1.0477982565410016,0.7866423656023531
2025-10-08,2.0458498293884806,0.7449722054346359,1.140678996662475,1.762840484021707,1.086079758457396,1.9426096100213575,1.439859748184911,1.4475975837334323,0.9913046844815124
2025-10-09,2.675895849785495,1.0936497325658234,1.6786055921410332,2.4548127646487017,1.5999485363809738,2.6530054398616087,2.1050719503074613,2.107293414764701,1.70042794148036
2025-10-10,2.559898532961085,0.9793045589257519,1.545768385776037,2.3151541987005575,1.4722649029555923,2.4623273102536807,1.916701932723018,1.915275299596038,1.5123345722410908
2025-10-13,2.537475522355011,1.021506235516858,1.5687904129873542,2.3203420672466684,1.4967869949742632,2.5255589682618163,2.0294679042515975,2.0447522355633962,1.5812686128963278
2025-10-14,2.276258604730146,0.8019347067166235,1.2887289154263308,2.046181214649223,1.2226674797480217,2.220827263679759,1.714102257129394,1.7383904968970842,1.2264713937580705
2025-10-15,2.101615011482105,0.7228877434164578,1.0950711190441031,1.869455093188578,1.0416562485003433,2.0566234369862966,1.5283924726439417,1.5636460741236216,0.9985324349212715
2025-10-16,2.1136247209407557,0.6511163980519112,1.1032885608607161,1.8906322414785086,1.036151494285595,2.1831560605635763,1.68440150787369,1.7167571753226634,1.09450165399556
2025-10-17,2.165075887066373,0.6441223804771992,1.1275093870982613,1.9448916247373402,1.04456483095405,2.0967558670319613,1.5078803758556407,1.5540998879164818,0.8835186061467517
2025-10-20,1.8489318093972265,0.4722048723408243,0.7724184306147872,1.6064623976593835,0.7494636016518668,1.9316143913260981,1.4125588305255006,1.4336321411711268,0.7739361818194763
2025-10-21,1.6431339817177373,0.2671558552951103,0.4763454315515741,1.3411361551390633,0.47271899593173755,1.8020018992324047,1.3328361231384698,1.33332289539536,0.7601944619122021
2025-10-23,1.3546149295281145,0.028365846967794733,0.32577783739453925,1.1008517218590046,0.32304510789806246,1.5707206755352205,1.1452404645720566,1.114746094358153,0.6543790843437092
2025-10-27,1.3395173941957108,0.04027865140313536,0.3352081810168601,1.1281687149414816,0.3295714695894346,1.6283715516943658,1.2359581546673806,1.1933786423733537,0.7718475812917678
2025-10-28,1.2308741221527715,0.08353336735076736,0.4083281887810366,1.0771113473753158,0.42009942277341616,1.6729113238338933,1.3569061750761058,1.297632979959922,0.9164954483570105
2025-10-29,1.3247953185666494,0.16259462801686556,0.4604993838996502,1.1361081325950255,0.47488176965910534,1.6306884451734913,1.226145980635124,1.1787504633848092,0.7837903527654061
2025-10-30,1.1519248455156015,0.02159414603996082,0.3905275101579437,0.9688298563718863,0.39693299312291663,1.5115499593998036,1.1433296535812274,1.0936315392098028,0.6465296080508546
2025-10-31,1.0977723209729695,0.11181373954421171,0.4280084141609943,0.9397135369596704,0.43388979359129515,1.5211692578679248,1.160956325256561,1.0982528330833954,0.53212526159368
2025-11-03,1.230894783148056,0.14527474343031185,0.45996753444321503,1.05368722527272,0.47415955794666775,1.6574394188039565,1.271741090320372,1.2015667208338998,0.5525855730682027
2025-11-04,0.8695975535128337,-0.43469867116644967,-0.07400294385946328,0.628133873701576,-0.05266502524666703,1.2909243996330826,0.9499101376085866,0.8636977144161103,0.3421138371283826
